cliente_id,nome,email,telefone,estado,data_cadastro,valor_acumulado,atualizado_em,cadastro_valido
CLI-0079,Ana Lima,..ana.lima..79@empresa.com.br,98905797262,SP,2025-06-28,2447.5,2025-07-18,True
CLI-0081,Elisa Rocha,elisa.rocha81@empresa.com.br,98983240814,RJ,2024-04-08,370.52,2024-10-27,True
CLI-0082,Bruno Costa,bruno.costa82@empresa.com.br,98903704500,MA,2025-09-25,1514.14,2025-09-28,True
CLI-0086,Ana Lima,ana.lima86@gmail.com,98985234240,MA,2024-08-23,2447.02,2024-11-25,True
CLI-0090,Bruno Costa,bruno.costa90@empresa.com.br,98927751517,MA,2025-05-25,1490.0,2025-06-01,True
CLI-0093,Fabio Santos,fabio.santos93@outlook.com,98916742710,MA,2025-04-26,1515.09,2025-07-10,True
CLI-0095,Gabi Melo,..gabi.melo..95@gmail.com,98902876488,SP,2025-05-02,2266.68,2025-08-01,True
CLI-0096,Gabi Melo,gabi.melo96@gmail.com,98998652509,SP,2024-01-04,751.35,2024-07-14,True
CLI-0097,Fabio Santos,fabio.santos97@outlook.com,98933648649,RJ,2025-01-11,554.25,2025-04-14,True
CLI-0098,Carla Souza,carla.souza98@gmail.com,98996553659,SP,2023-04-17,1591.59,2023-05-22,True
CLI-0099,Ana Lima,ana.lima99@empresa.com.br,98991534783,MA,2023-06-06,886.6,2023-12-02,True
CLI-0101,Elisa Rocha,elisa.rocha101@empresa.com.br,98952605031,MA,2025-01-16,2137.92,2025-05-08,True
CLI-0103,Gabi Melo,gabi.melo103@empresa.com.br,98914515959,RJ,2024-08-22,936.05,2025-02-10,True
CLI-0104,Ana Lima,ana.lima104@gmail.com,98933213047,MA,2025-08-30,1321.29,2025-09-11,True
CLI-0105,Fabio Santos,fabio.santos105@gmail.com,98979120483,MA,2023-01-10,243.17,2023-05-05,True
CLI-0106,Elisa Rocha,elisa.rocha106@outlook.com,98975299243,SP,2024-12-11,2278.3,2025-03-01,True
CLI-0108,Fabio Santos,fabio.santos108@gmail.com,98948461826,PA,2025-03-10,290.47,2026-02-01,True
CLI-0110,Gabi Melo,gabi.melo110@empresa.com.br,98960252095,PA,2024-04-28,2360.84,2024-09-02,True
CLI-0111,Elisa Rocha,elisa.rocha111@empresa.com.br,98975520170,,2023-04-19,775.84,2023-05-18,False
CLI-0112,Diego Alves,,,PA,2023-12-05,1848.02,2024-05-29,False
CLI-0113,Bruno Costa,..bruno.costa..113@outlook.com,98986824408,PA,2023-11-24,1600.07,2024-01-01,True
CLI-0114,Bruno Costa,..bruno.costa..114@gmail.com,98920542133,RJ,2023-01-15,2317.41,2023-07-02,True
CLI-0115,Elisa Rocha,..elisa.rocha..115@empresa.com.br,98982609259,MA,2025-10-31,947.0,2026-02-21,True
CLI-0116,Elisa Rocha,elisa.rocha116@gmail.com,98970432927,RJ,2024-06-15,850.4,2024-11-27,True
CLI-0117,Bruno Costa,..bruno.costa..117@gmail.com,,PA,2024-05-24,897.75,2024-10-16,False
CLI-0118,Gabi Melo,gabi.melo118@gmail.com,98907482936,SP,2024-01-14,999.53,2024-03-28,True
CLI-0120,Gabi Melo,gabi.melo120@gmail.com,98984464681,PA,2025-07-20,502.07,2025-08-23,True
CLI-0121,Fabio Santos,..fabio.santos..121@empresa.com.br,98979304395,MA,2025-11-27,1785.82,2026-02-23,True
CLI-0122,Carla Souza,,98930500644,SP,2025-08-20,82.92,2025-10-31,False
CLI-0125,Diego Alves,diego.alves125@empresa.com.br,98930154524,MA,2023-04-07,2296.65,2023-07-17,True
CLI-0126,Gabi Melo,gabi.melo126@empresa.com.br,98901561148,RJ,2024-12-28,1996.81,2025-04-02,True
CLI-0127,Fabio Santos,..fabio.santos..127@outlook.com,98956594460,SP,2024-12-24,2177.73,2025-05-14,True
CLI-0128,Bruno Costa,bruno.costa128@empresa.com.br,98909688655,MA,2024-10-24,818.98,2025-01-12,True
CLI-0129,Fabio Santos,fabio.santos129@gmail.com,98978213954,SP,2023-07-14,1259.11,2023-10-25,True
CLI-0131,Fabio Santos,fabio.santos131@gmail.com,98972095100,PA,2024-08-21,2079.16,2024-12-22,True
CLI-0133,Diego Alves,diego.alves133@outlook.com,98974484047,MA,2024-11-19,427.76,2025-04-16,True
CLI-0136,Elisa Rocha,elisa.rocha136@empresa.com.br,98956530214,MA,2025-11-16,1800.22,2025-12-24,True
CLI-0139,Diego Alves,diego.alves139@empresa.com.br,98976993524,PA,2024-10-21,2414.75,2024-10-28,True
CLI-0140,Carla Souza,carla.souza140@empresa.com.br,98922039272,PA,2023-12-19,1305.1,2024-05-30,True
CLI-0144,Elisa Rocha,elisa.rocha144@outlook.com,98929517327,MA,2025-11-04,2591.1,2025-04-20,True
CLI-0145,Elisa Rocha,elisa.rocha145@empresa.com.br,98915381534,SP,2025-06-05,1649.09,2025-10-09,True
CLI-0146,Elisa Rocha,elisa.rocha146@gmail.com,98959603785,MA,2025-08-17,2241.57,2026-01-12,True
CLI-0148,Diego Alves,..diego.alves..148@empresa.com.br,98981373507,MA,2025-05-16,2300.2,2025-10-09,True
CLI-0150,Diego Alves,diego.alves150@outlook.com,98984727414,PA,2023-07-15,1460.28,2023-12-21,True
CLI-0151,Fabio Santos,..fabio.santos..151@gmail.com,98981797215,RJ,2024-02-21,843.09,2024-08-01,True
CLI-0152,Diego Alves,diego.alves152@outlook.com,98924129105,MA,2023-04-25,2410.73,2023-09-28,True
CLI-0154,Carla Souza,carla.souza154@outlook.com,98918553049,RJ,2025-07-21,362.43,2025-10-12,True
CLI-0155,Carla Souza,carla.souza155@empresa.com.br,98922677032,,2025-12-02,1556.28,2025-03-27,False
CLI-0156,Diego Alves,diego.alves156@empresa.com.br,98901448284,SP,2025-12-19,1306.31,2026-02-27,True
CLI-0158,Elisa Rocha,elisa.rocha158@empresa.com.br,98936753047,SP,2023-11-04,419.27,2023-04-25,True
CLI-0159,Carla Souza,..carla.souza..159@empresa.com.br,98961322153,MA,2024-09-19,331.71,2024-11-09,True
CLI-0161,Bruno Costa,bruno.costa161@gmail.com,98969606872,PA,2025-04-26,155.29,2025-09-19,True
CLI-0162,Carla Souza,carla.souza162@gmail.com,98937962607,MA,2023-06-28,64.05,2023-12-19,True
CLI-0163,Ana Lima,ana.lima163@outlook.com,98928364575,MA,2025-05-11,2256.63,2025-11-07,True
CLI-0164,Ana Lima,..ana.lima..164@outlook.com,98963648349,MA,2025-01-28,1072.31,2025-02-02,True
CLI-0167,Carla Souza,carla.souza167@gmail.com,,RJ,2025-09-01,584.06,2025-04-21,False
CLI-0168,Fabio Santos,fabio.santos168@gmail.com,98984230850,PA,2025-05-28,75.51,2025-06-29,True
CLI-0169,Bruno Costa,bruno.costa169@gmail.com,98940360045,SP,2023-03-03,2180.84,2023-04-21,True
CLI-0170,Fabio Santos,,98929789539,SP,2025-11-18,501.17,2026-01-19,False
CLI-0172,Diego Alves,diego.alves172@empresa.com.br,98933551004,,2025-10-16,1401.04,2025-11-19,False
CLI-0173,Elisa Rocha,elisa.rocha173@outlook.com,98941642992,RJ,2025-12-18,1955.08,2025-12-19,True
CLI-0175,Fabio Santos,fabio.santos175@outlook.com,98967198680,RJ,2023-06-21,191.33,2023-07-09,True
CLI-0176,Bruno Costa,bruno.costa176@empresa.com.br,98988098959,SP,2023-01-11,415.98,2023-12-01,True
CLI-0177,Bruno Costa,bruno.costa177@outlook.com,98973456407,MA,2023-05-28,639.27,2023-10-18,True
CLI-0178,Elisa Rocha,,98992519938,MA,2025-12-13,725.66,2026-05-25,False
CLI-0181,Fabio Santos,fabio.santos181@gmail.com,,SP,2025-08-26,156.88,2025-09-19,False
CLI-0183,Elisa Rocha,,98978607319,,2025-05-28,1197.47,2025-07-07,False
CLI-0184,Diego Alves,diego.alves184@outlook.com,98962318793,MA,2025-01-13,1113.54,2025-05-31,True
CLI-0187,Bruno Costa,..bruno.costa..187@empresa.com.br,98982129925,MA,2025-09-25,509.52,2025-12-04,True
CLI-0188,Ana Lima,ana.lima188@empresa.com.br,98933885039,SP,2025-06-21,2322.44,2025-12-13,True
CLI-0189,Fabio Santos,fabio.santos189@outlook.com,98923791692,MA,2023-12-02,530.72,2024-03-17,True
CLI-0190,Gabi Melo,,,RJ,2024-11-11,882.26,2025-02-04,False
CLI-0191,Fabio Santos,fabio.santos191@empresa.com.br,98932782004,MA,2025-02-18,1307.56,2025-08-16,True
CLI-0192,Gabi Melo,gabi.melo192@empresa.com.br,98998044850,SP,2024-10-16,1293.83,2024-12-10,True
CLI-0193,Fabio Santos,fabio.santos193@empresa.com.br,98957109021,SP,2025-10-11,2193.63,2026-02-25,True
CLI-0195,Fabio Santos,fabio.santos195@gmail.com,98946671763,,2024-04-06,1559.75,2024-07-28,False
CLI-0196,Bruno Costa,bruno.costa196@gmail.com,98902175990,RJ,2023-03-01,1205.29,2023-05-01,True
CLI-0197,Ana Lima,ana.lima197@gmail.com,98990241430,MA,2024-11-12,1528.05,2025-04-13,True
CLI-0199,Gabi Melo,gabi.melo199@empresa.com.br,98966172963,RJ,2024-02-20,1961.59,2024-05-03,True
CLI-0200,Ana Lima,ana.lima200@gmail.com,98985549485,MA,2025-03-29,575.94,2025-04-22,True
CLI-0202,Carla Souza,carla.souza202@gmail.com,98987163926,,2025-06-27,380.17,2025-07-21,False
CLI-0203,Elisa Rocha,..elisa.rocha..203@empresa.com.br,98923132733,,2025-11-16,87.12,2026-04-09,False
CLI-0204,Elisa Rocha,,98941733393,RJ,2025-06-04,790.73,2025-11-02,False
CLI-0205,Diego Alves,diego.alves205@empresa.com.br,98996214651,RJ,2025-09-07,901.92,2026-01-14,True
CLI-0207,Carla Souza,carla.souza207@outlook.com,98990616212,PA,2024-03-25,479.79,2024-05-29,True
CLI-0208,Gabi Melo,gabi.melo208@empresa.com.br,98966086144,,2025-02-06,2569.51,2025-06-27,False
CLI-0209,Bruno Costa,bruno.costa209@outlook.com,98999728268,MA,2025-04-28,1445.71,2025-07-23,True
CLI-0210,Gabi Melo,gabi.melo210@outlook.com,98962899062,,2025-02-23,2413.52,2025-08-21,False
CLI-0212,Elisa Rocha,elisa.rocha212@gmail.com,98909283794,PA,2023-10-27,613.86,2023-12-25,True
CLI-0214,Fabio Santos,fabio.santos214@gmail.com,98933752934,SP,2025-04-29,1053.78,2025-09-25,True
CLI-0215,Diego Alves,diego.alves215@gmail.com,98973928743,SP,2025-05-06,1883.52,2025-10-05,True
CLI-0216,Fabio Santos,fabio.santos216@gmail.com,98948293892,,2023-10-25,241.66,2023-11-28,False
CLI-0217,Elisa Rocha,..elisa.rocha..217@gmail.com,98962793056,SP,2025-01-18,2121.05,2025-03-22,True
CLI-0218,Ana Lima,ana.lima218@empresa.com.br,98952310348,SP,2024-03-23,1051.85,2024-09-02,True
CLI-0219,Fabio Santos,fabio.santos219@outlook.com,98962527328,,2024-05-18,2568.04,2024-07-17,False
CLI-0221,Carla Souza,..carla.souza..221@empresa.com.br,98970001882,SP,2024-12-20,673.09,2025-02-01,True
CLI-0222,Bruno Costa,bruno.costa222@outlook.com,98957563265,RJ,2024-03-08,2468.96,2024-10-18,True
CLI-0224,Diego Alves,diego.alves224@outlook.com,98962939131,MA,2024-03-30,1554.47,2024-06-09,True
CLI-0225,Diego Alves,,98910893971,,2025-12-29,643.89,2026-05-29,False
CLI-0227,Gabi Melo,..gabi.melo..227@empresa.com.br,98918925519,SP,2023-07-02,710.58,2023-07-14,True
CLI-0228,Fabio Santos,..fabio.santos..228@outlook.com,98913547145,RJ,2024-05-19,2298.09,2024-05-19,True
CLI-0229,Diego Alves,diego.alves229@outlook.com,98914623484,MA,2023-11-20,2088.77,2024-05-15,True
CLI-0231,Elisa Rocha,elisa.rocha231@gmail.com,98991406744,,2025-08-27,435.24,2026-02-12,False
CLI-0232,Gabi Melo,gabi.melo232@gmail.com,98955456301,MA,2025-01-15,1749.33,2025-04-15,True
CLI-0233,Ana Lima,,98941579981,RJ,2024-12-07,181.37,2025-02-19,False
CLI-0234,Gabi Melo,,98936303231,RJ,2024-06-04,261.36,2024-11-19,False
CLI-0235,Diego Alves,diego.alves235@gmail.com,98980283747,,2025-11-29,1124.95,2026-04-20,False
CLI-0236,Elisa Rocha,elisa.rocha236@gmail.com,98963498805,RJ,2023-11-12,1042.44,2024-02-13,True
CLI-0237,Elisa Rocha,elisa.rocha237@gmail.com,98928328401,PA,2025-08-07,1556.31,2025-08-26,True
CLI-0238,Ana Lima,ana.lima238@gmail.com,98925405731,MA,2024-04-07,2235.59,2024-11-15,True
CLI-0239,Elisa Rocha,elisa.rocha239@empresa.com.br,98963669581,MA,2024-12-13,2554.26,2025-04-08,True
CLI-0240,Ana Lima,ana.lima240@empresa.com.br,98966872887,MA,2024-01-19,2242.13,2024-03-21,True
CLI-0241,Fabio Santos,fabio.santos241@gmail.com,98945904508,PA,2025-03-23,1610.88,2025-04-01,True
CLI-0242,Ana Lima,ana.lima242@empresa.com.br,98914596590,MA,2024-05-28,2320.88,2024-10-14,True
CLI-0243,Fabio Santos,fabio.santos243@outlook.com,98904594113,MA,2023-11-02,1857.0,2023-03-15,True
CLI-0244,Carla Souza,,98969653184,RJ,2023-08-20,498.76,2023-11-24,False
CLI-0245,Carla Souza,carla.souza245@gmail.com,98966125992,MA,2025-12-04,2275.95,2025-08-17,True
CLI-0246,Diego Alves,..diego.alves..246@empresa.com.br,98972190599,MA,2024-05-14,1066.4,2024-09-17,True
CLI-0248,Gabi Melo,gabi.melo248@empresa.com.br,98950130991,RJ,2025-09-14,1255.68,2025-12-05,True
CLI-0250,Gabi Melo,gabi.melo250@outlook.com,98950928705,MA,2024-09-30,94.11,2024-12-04,True
CLI-0252,Gabi Melo,gabi.melo252@gmail.com,98956847236,RJ,2025-01-05,1795.41,2025-06-08,True
CLI-0253,Fabio Santos,..fabio.santos..253@gmail.com,,MA,2025-12-12,417.49,2026-05-16,False
CLI-0254,Elisa Rocha,elisa.rocha254@outlook.com,98985705457,MA,2023-04-05,1024.18,2023-05-13,True
CLI-0255,Gabi Melo,..gabi.melo..255@outlook.com,98977747015,PA,2025-06-22,1879.7,2025-08-24,True
CLI-0256,Elisa Rocha,elisa.rocha256@outlook.com,98913598832,SP,2025-03-24,474.3,2025-07-02,True
CLI-0257,Bruno Costa,,98962776806,RJ,2025-12-16,1975.2,2026-01-28,False
CLI-0258,Gabi Melo,gabi.melo258@outlook.com,98922828816,MA,2025-09-05,2545.45,2025-08-14,True
CLI-0259,Fabio Santos,fabio.santos259@gmail.com,98950930284,RJ,2024-08-19,280.92,2024-11-26,True
CLI-0261,Elisa Rocha,..elisa.rocha..261@outlook.com,98907062082,PA,2024-01-24,173.18,2024-03-14,True
CLI-0266,Carla Souza,carla.souza266@empresa.com.br,98957842719,SP,2025-12-18,1576.06,2026-03-01,True
CLI-0267,Fabio Santos,fabio.santos267@outlook.com,98923586302,SP,2023-03-21,592.26,2023-07-08,True
CLI-0268,Carla Souza,..carla.souza..268@empresa.com.br,98998167231,SP,2025-01-07,1336.12,2025-12-14,True
CLI-0269,Elisa Rocha,elisa.rocha269@outlook.com,98935648687,,2024-07-22,140.65,2024-12-28,False
CLI-0271,Gabi Melo,..gabi.melo..271@gmail.com,98972980778,SP,2023-10-26,891.62,2024-02-08,True
CLI-0272,Ana Lima,ana.lima272@empresa.com.br,98917048158,PA,2025-04-23,1712.87,2025-05-27,True
CLI-0273,Carla Souza,carla.souza273@gmail.com,98908545931,RJ,2024-09-29,986.04,2024-12-03,True
CLI-0274,Elisa Rocha,elisa.rocha274@empresa.com.br,98911547642,RJ,2024-08-03,1569.99,2024-10-25,True
CLI-0275,Carla Souza,carla.souza275@outlook.com,98976898273,SP,2025-11-24,1509.61,2026-02-24,True
CLI-0276,Fabio Santos,fabio.santos276@gmail.com,98988252866,SP,2024-08-10,468.32,2025-01-07,True
CLI-0277,Carla Souza,carla.souza277@outlook.com,98976467096,PA,2023-07-11,1054.91,2023-11-21,True
CLI-0279,Ana Lima,ana.lima279@empresa.com.br,98950428928,RJ,2023-06-29,2048.59,2023-11-08,True
CLI-0280,Carla Souza,carla.souza280@outlook.com,98917753241,SP,2025-05-12,1978.37,2026-01-04,True
CLI-0283,Elisa Rocha,..elisa.rocha..283@outlook.com,98943926139,PA,2023-08-30,2477.99,2023-11-28,True
CLI-0285,Carla Souza,carla.souza285@empresa.com.br,98922583114,SP,2024-12-25,1378.65,2025-02-20,True
CLI-0286,Diego Alves,..diego.alves..286@gmail.com,98923691084,PA,2025-07-26,329.98,2026-01-20,True
CLI-0287,Ana Lima,ana.lima287@empresa.com.br,98970652954,PA,2025-08-06,883.88,2026-01-25,True
CLI-0288,Diego Alves,diego.alves288@empresa.com.br,98906291136,,2025-08-05,2574.01,2026-01-20,False
CLI-0289,Carla Souza,carla.souza289@gmail.com,98977414109,RJ,2025-12-22,1194.45,2026-05-18,True
CLI-0291,Bruno Costa,,98922833266,SP,2023-07-07,1525.64,2023-09-15,False
CLI-0292,Carla Souza,carla.souza292@outlook.com,98932649448,MA,2025-06-25,363.44,2025-09-12,True
CLI-0293,Gabi Melo,..gabi.melo..293@empresa.com.br,98930106303,RJ,2023-03-22,2243.68,2023-05-22,True
CLI-0294,Ana Lima,ana.lima294@empresa.com.br,98932105698,,2023-07-01,1643.81,2023-05-29,False
CLI-0295,Diego Alves,diego.alves295@outlook.com,98907424698,RJ,2025-08-05,2486.4,2025-12-21,True
CLI-0296,Elisa Rocha,elisa.rocha296@empresa.com.br,98969321350,RJ,2025-01-02,2352.62,2025-02-19,True
CLI-0300,Elisa Rocha,elisa.rocha300@gmail.com,98957364710,MA,2025-10-03,520.65,2025-05-27,True
CLI-0302,Fabio Santos,fabio.santos302@outlook.com,98967053780,PA,2024-05-19,981.22,2024-08-04,True
CLI-0303,Elisa Rocha,elisa.rocha303@empresa.com.br,98937364134,RJ,2023-09-22,1785.21,2023-10-06,True
CLI-0305,Carla Souza,carla.souza305@gmail.com,98957805952,PA,2024-06-29,1379.0,2024-09-14,True
CLI-0307,Elisa Rocha,elisa.rocha307@gmail.com,98948079520,,2023-07-01,68.75,2023-06-29,False
CLI-0309,Fabio Santos,fabio.santos309@gmail.com,98954175771,MA,2025-09-13,1664.47,2025-11-26,True
CLI-0310,Fabio Santos,fabio.santos310@gmail.com,98905176736,,2023-01-05,2471.31,2023-07-17,False
CLI-0312,Gabi Melo,..gabi.melo..312@outlook.com,98967127817,MA,2023-06-28,2119.88,2023-11-28,True
CLI-0313,Elisa Rocha,elisa.rocha313@empresa.com.br,,PA,2024-07-31,1205.97,2024-10-29,False
CLI-0315,Fabio Santos,fabio.santos315@gmail.com,98947686104,SP,2025-06-23,1970.25,2025-12-03,True
CLI-0318,Carla Souza,..carla.souza..318@empresa.com.br,98902773124,MA,2023-11-10,1074.7,2023-12-14,True
CLI-0319,Fabio Santos,fabio.santos319@outlook.com,,MA,2024-08-06,1411.27,2024-10-20,False
CLI-0321,Carla Souza,carla.souza321@outlook.com,98998116192,RJ,2025-08-21,1492.84,2025-12-10,True
CLI-0322,Bruno Costa,bruno.costa322@gmail.com,,PA,2025-02-05,1726.61,2025-07-04,False
CLI-0323,Ana Lima,,98937935044,SP,2023-10-10,1989.45,2023-12-13,False
CLI-0324,Ana Lima,,98920873500,SP,2025-06-25,1472.25,2025-12-18,False
CLI-0326,Ana Lima,ana.lima326@outlook.com,,MA,2025-04-02,2325.43,2025-04-06,False
CLI-0327,Bruno Costa,bruno.costa327@empresa.com.br,,PA,2024-12-13,94.09,2025-02-01,False
CLI-0328,Carla Souza,carla.souza328@gmail.com,98952349386,PA,2025-05-20,938.0,2025-09-03,True
CLI-0329,Carla Souza,carla.souza329@empresa.com.br,98944086890,SP,2025-08-21,2002.28,2025-08-30,True
CLI-0330,Bruno Costa,bruno.costa330@empresa.com.br,98951461474,MA,2025-11-18,1660.49,2026-01-17,True
CLI-0331,Carla Souza,carla.souza331@empresa.com.br,98924573933,PA,2023-07-01,321.19,2023-03-27,True
CLI-0333,Fabio Santos,fabio.santos333@gmail.com,98949247667,PA,2023-08-19,649.6,2023-10-26,True
CLI-0335,Fabio Santos,fabio.santos335@gmail.com,98952605972,PA,2024-12-20,300.0,2025-06-18,True
CLI-0337,Bruno Costa,,98921065087,MA,2023-03-18,180.61,2023-07-04,False
CLI-0339,Elisa Rocha,elisa.rocha339@gmail.com,98982610449,PA,2024-09-12,1293.81,2025-01-03,True
CLI-0340,Gabi Melo,gabi.melo340@empresa.com.br,98901638131,,2024-02-24,499.27,2024-05-02,False
CLI-0341,Elisa Rocha,elisa.rocha341@empresa.com.br,98933339508,MA,2025-03-03,2552.74,2025-08-04,True
