cliente_id,nome,email,telefone,estado,data_cadastro,valor_acumulado,atualizado_em
CLI-0497,Gabi Melo,gabi.melo497@outlook.com,+55 98910034436,PA,2023-06-14,"R$ 1.454,46",2023-11-02
CLI-0717,Ana Lima,ana.lima717@gmail.com,+55 98947980835,,2023-01-23,668.48,2023-03-28
CLI-0042,  BRUNO COSTA  ,..bruno.costa..42empresa.com.br,+55 98959875160,sp,2023-08-24,371.41,2023-11-25
CLI-0361,Fabio Santos,fabio.santos361@outlook.com,,ma,26/04/2023,1244.89,2023-08-02
CLI-0437,Bruno Costa,bruno.costa437@gmail.com,+55 98998407034,Maranhao,02/12/2023,333.38,2024-01-09
CLI-0168,Fabio Santos,fabio.santos168@gmail.com,(98) 98423-0850,pa,28/05/2025,"R$ 75,51",2025-06-29
CLI-0017,Fabio Santos,fabio.santos17@outlook.com,,SP,2023-09-16,360.27,2023-11-18
CLI-0637,Fabio Santos,fabio.santos637empresa.com.br,(98) 90649-4630,SP,2023-09-11,"R$ 1.845,30",2024-01-06
CLI-0131,Fabio Santos,fabio.santos131@gmail.com,(98) 97209-5100,PA,21/08/2024,2079.16,2024-12-22
CLI-0122,Carla Souza,carla.souza122gmail.com,+55 98930500644,sp,2025-08-20,"R$ 82,92",2025-10-31
CLI-0707,Fabio Santos,fabio.santos707@outlook.com,+55 98986449079,RJ,2025-09-17,1545.34,2026-01-13
CLI-0445,Ana Lima,ana.lima445gmail.com,98944612571,RJ,07/10/2023,171.26,2024-02-04
CLI-0667,Diego Alves,diego.alves667@empresa.com.br,98913251662,rj,06/09/2023,"R$ 1.387,22",2023-09-29
CLI-0685,  CARLA SOUZA  ,..carla.souza..685@gmail.com,98953892107,pa,13/11/2023,"R$ 1.405,75",2023-12-27
CLI-0192,  CARLA SOUZA  ,..carla.souza..192gmail.com,(98) 93594-1376,MA,2024-09-17,1937.87,2024-11-26
CLI-0259,Fabio Santos,fabio.santos259@gmail.com,(98) 95093-0284,RJ,19/08/2024,"R$ 280,92",2024-11-26
CLI-0719,Carla Souza,carla.souza719@empresa.com.br,+55 98985513031,MA,02/02/2025,"R$ 256,47",2025-02-14
CLI-0181,Fabio Santos,fabio.santos181@gmail.com,,SP,2025-08-26,156.88,2025-09-19
CLI-0029,Fabio Santos,fabio.santos29@gmail.com,98983527323,MA,2025-11-12,1761.97,2026-03-15
CLI-0255,Bruno Costa,bruno.costa255@gmail.com,+55 98914838593,rj,2024-09-20,2457.28,2024-10-01
CLI-0191,Fabio Santos,fabio.santos191@empresa.com.br,98932782004,ma,2025-02-18,"R$ 1.307,56",2025-08-16
CLI-0597,  CARLA SOUZA  ,..carla.souza..597outlook.com,(98) 91187-0345,MA,2024-09-01,"R$ 191,17",2024-11-13
CLI-0586,Gabi Melo,gabi.melo586@gmail.com,98915997121,MA,2024-06-20,2072.19,2024-08-18
CLI-0397,Gabi Melo,gabi.melo397@gmail.com,98985871745,RJ,2025-01-26,"R$ 1.684,42",2025-05-09
CLI-0305,Carla Souza,carla.souza305@gmail.com,98957805952,pa,29/06/2024,1379.00,2024-09-14
CLI-0513,Carla Souza,carla.souza513@outlook.com,98913808951,ma,2023-08-10,"R$ 2.276,34",2023-12-21
CLI-0606,Fabio Santos,fabio.santos606@empresa.com.br,+55 98900579060,Maranhao,22/05/2025,"R$ 1.879,48",2025-07-13
CLI-0025,Carla Souza,carla.souza25@gmail.com,98901156073,pa,2024-11-13,"R$ 1.711,81",2025-02-22
CLI-0187,  BRUNO COSTA  ,..bruno.costa..187@empresa.com.br,98982129925,ma,2025-09-25,"R$ 509,52",2025-12-04
CLI-0670,Elisa Rocha,elisa.rocha670@gmail.com,98907708334,sp,2024-01-31,"R$ 1.877,96",2024-06-06
CLI-0269,Diego Alves,diego.alves269@empresa.com.br,(98) 98752-6722,rj,15/10/2023,"R$ 361,76",2024-02-19
CLI-0287,Ana Lima,ana.lima287@empresa.com.br,(98) 97065-2954,pa,06/08/2025,"R$ 883,88",2026-01-25
CLI-0167,Gabi Melo,gabi.melo167@outlook.com,98998185621,Maranhao,2024-11-19,"R$ 2.466,36",2025-04-14
CLI-0315,Fabio Santos,fabio.santos315@gmail.com,98947686104,SP,23/06/2025,"R$ 1.970,25",2025-12-03
CLI-0274,Bruno Costa,bruno.costa274gmail.com,(98) 92326-0471,RJ,28/06/2023,664.74,2023-11-26
CLI-0097,Fabio Santos,fabio.santos97@outlook.com,+55 98933648649,RJ,11/01/2025,554.25,2025-04-14
CLI-0172,Diego Alves,diego.alves172@empresa.com.br,(98) 93355-1004,,16/10/2025,"R$ 1.401,04",2025-11-19
CLI-0224,Diego Alves,diego.alves224@outlook.com,+55 98962939131,ma,2024-03-30,"R$ 1.554,47",2024-06-09
CLI-0580,Carla Souza,carla.souza580@empresa.com.br,98991053480,ma,2024-06-29,2461.42,2024-07-04
CLI-0568,Fabio Santos,fabio.santos568@gmail.com,(98) 98579-2968,pa,23/06/2025,992.37,2025-09-04
CLI-0326,Diego Alves,diego.alves326@gmail.com,(98) 96500-5215,PA,10/09/2024,1712.07,2024-11-23
CLI-0550,Carla Souza,carla.souza550@empresa.com.br,+55 98975732776,sp,2024-07-04,"R$ 1.525,02",2024-07-25
CLI-0041,Bruno Costa,bruno.costa41@empresa.com.br,98997449151,pa,2024-04-08,344.89,2024-05-24
CLI-0116,Ana Lima,ana.lima116@outlook.com,98944433920,rj,2024-01-20,"R$ 2.464,92",2024-05-03
CLI-0140,Elisa Rocha,elisa.rocha140@gmail.com,(98) 93654-9537,rj,16/01/2023,262.36,2023-01-19
CLI-0360,Elisa Rocha,elisa.rocha360@empresa.com.br,+55 98904699976,PA,2024-01-23,"R$ 823,99",2024-02-29
CLI-0615,Gabi Melo,gabi.melo615@outlook.com,+55 98919809499,rj,2024-08-16,"R$ 1.988,07",2024-12-16
CLI-0144,Elisa Rocha,elisa.rocha144@outlook.com,98929517327,Maranhao,2025-04-11,"R$ 2.591,10",2025-04-20
CLI-0013,  GABI MELO  ,..gabi.melo..13@outlook.com,+55 98903436792,MA,2025-06-18,2421.90,2025-10-05
CLI-0255,  GABI MELO  ,..gabi.melo..255@outlook.com,+55 98977747015,PA,22/06/2025,"R$ 1.879,70",2025-08-24
CLI-0070,Ana Lima,ana.lima70@gmail.com,+55 98903581093,PA,22/01/2025,2581.84,2025-02-13
CLI-0302,Fabio Santos,fabio.santos302@outlook.com,(98) 96705-3780,pa,19/05/2024,981.22,2024-08-04
CLI-0027,Elisa Rocha,elisa.rocha27@outlook.com,(98) 91992-7836,RJ,27/06/2025,"R$ 1.316,93",2025-12-19
CLI-0401,  CARLA SOUZA  ,..carla.souza..401@gmail.com,+55 98921625303,MA,20/11/2023,1103.56,2024-05-12
CLI-0049,Bruno Costa,bruno.costa49@outlook.com,(98) 96735-6880,SP,25/02/2025,"R$ 761,66",2025-03-08
CLI-0583,  ELISA ROCHA  ,..elisa.rocha..583@gmail.com,98914820484,RJ,11/04/2025,2341.83,2025-07-28
CLI-0470,Carla Souza,carla.souza470@empresa.com.br,(98) 96828-5104,RJ,2024-10-20,"R$ 636,41",2024-11-20
CLI-0215,Fabio Santos,fabio.santos215@empresa.com.br,(98) 90135-1101,sp,2023-06-29,1121.35,2023-07-08
CLI-0556,Bruno Costa,bruno.costa556@empresa.com.br,,ma,2023-01-31,"R$ 1.906,74",2023-06-14
CLI-0121,  FABIO SANTOS  ,..fabio.santos..121@empresa.com.br,98979304395,ma,2025-11-27,"R$ 1.785,82",2026-02-23
CLI-0039,Elisa Rocha,elisa.rocha39@empresa.com.br,+55 98925994428,RJ,2024-01-22,"R$ 769,51",2024-03-20
CLI-0195,Fabio Santos,fabio.santos195@gmail.com,98946671763,,06/04/2024,"R$ 1.559,75",2024-07-28
CLI-0133,  DIEGO ALVES  ,..diego.alves..133@empresa.com.br,+55 98903252843,pa,2024-09-01,125.15,2024-11-26
CLI-0685,  FABIO SANTOS  ,..fabio.santos..685@empresa.com.br,98947187619,rj,20/03/2023,347.31,2023-08-02
CLI-0350,Carla Souza,carla.souza350@empresa.com.br,(98) 99239-4157,sp,01/03/2024,1590.99,2024-03-04
CLI-0246,  FABIO SANTOS  ,..fabio.santos..246@outlook.com,+55 98914182825,pa,17/01/2024,"R$ 2.527,52",2024-03-22
CLI-0209,Bruno Costa,bruno.costa209@outlook.com,(98) 99972-8268,ma,28/04/2025,"R$ 1.445,71",2025-07-23
CLI-0369,Gabi Melo,gabi.melo369outlook.com,(98) 93508-2728,SP,20/04/2024,2120.68,2024-09-22
CLI-0712,Ana Lima,ana.lima712@outlook.com,(98) 96315-0225,SP,25/11/2025,1997.26,2026-03-20
CLI-0511,Gabi Melo,gabi.melo511@empresa.com.br,+55 98985901916,pa,2024-12-27,1619.59,2025-02-21
CLI-0193,Diego Alves,diego.alves193@gmail.com,+55 98900651122,sp,2024-09-06,"R$ 1.116,64",2024-11-02
CLI-0580,Elisa Rocha,elisa.rocha580@outlook.com,(98) 97755-3808,SP,2023-10-23,446.03,2024-03-13
CLI-0245,Diego Alves,diego.alves245@empresa.com.br,98902849655,PA,01/09/2024,"R$ 128,72",2025-02-21
CLI-0020,Diego Alves,diego.alves20@gmail.com,+55 98971628155,rj,2025-06-07,"R$ 781,52",2025-09-19
CLI-0070,Fabio Santos,fabio.santos70@gmail.com,(98) 99691-6969,Maranhao,2024-10-22,1071.20,2025-04-18
CLI-0065,Gabi Melo,gabi.melo65empresa.com.br,(98) 95651-1954,pa,2025-06-26,1778.41,2025-12-09
CLI-0531,Bruno Costa,bruno.costa531@empresa.com.br,(98) 98768-3353,MA,2023-03-02,"R$ 2.547,19",2023-05-18
CLI-0197,Ana Lima,ana.lima197@gmail.com,98990241430,ma,12/11/2024,1528.05,2025-04-13
CLI-0268,  CARLA SOUZA  ,..carla.souza..268@empresa.com.br,98998167231,sp,2025-07-01,1336.12,2025-12-14
CLI-0204,Ana Lima,ana.lima204@empresa.com.br,98954559451,ma,04/01/2024,"R$ 1.370,08",2024-05-29
CLI-0152,Diego Alves,diego.alves152@outlook.com,98924129105,ma,2023-04-25,"R$ 2.410,73",2023-09-28
CLI-0043,  CARLA SOUZA  ,..carla.souza..43@outlook.com,98996755078,,08/02/2024,"R$ 1.904,46",2024-05-20
CLI-0067,Diego Alves,diego.alves67@empresa.com.br,+55 98989212519,,07/12/2025,838.09,2026-04-26
CLI-0670,Gabi Melo,gabi.melo670@empresa.com.br,,,2023-07-13,2590.94,2023-09-28
CLI-0274,Gabi Melo,gabi.melo274@empresa.com.br,+55 98950051111,Maranhao,2023-11-19,"R$ 851,45",2023-12-18
CLI-0144,Diego Alves,diego.alves144@gmail.com,+55 98917845103,PA,2023-01-11,"R$ 223,70",2023-03-06
CLI-0718,Bruno Costa,bruno.costa718@gmail.com,98978601823,,2025-08-21,"R$ 1.460,51",2026-01-26
CLI-0544,Bruno Costa,bruno.costa544empresa.com.br,98964007855,rj,2025-07-12,1754.61,2025-12-29
CLI-0436,Fabio Santos,fabio.santos436@outlook.com,(98) 92287-8762,pa,24/10/2025,"R$ 653,71",2026-02-22
CLI-0233,  ANA LIMA  ,..ana.lima..233outlook.com,98941579981,RJ,07/12/2024,"R$ 181,37",2025-02-19
CLI-0614,Gabi Melo,gabi.melo614@outlook.com,+55 98920535260,rj,12/07/2023,273.03,2023-11-11
CLI-0312,  CARLA SOUZA  ,..carla.souza..312@empresa.com.br,98922770211,Maranhao,2023-07-06,2212.60,2023-08-26
CLI-0615,Elisa Rocha,elisa.rocha615@gmail.com,(98) 94357-3006,RJ,13/01/2023,1009.00,2023-01-16
CLI-0359,  BRUNO COSTA  ,..bruno.costa..359@gmail.com,(98) 91424-7363,rj,2023-01-06,"R$ 2.131,81",2023-02-15
CLI-0099,Ana Lima,ana.lima99@empresa.com.br,(98) 99153-4783,MA,06/06/2023,886.60,2023-12-02
CLI-0430,Gabi Melo,gabi.melo430@gmail.com,98915026202,pa,2024-05-17,"R$ 668,95",2024-07-07
CLI-0339,Elisa Rocha,elisa.rocha339@gmail.com,(98) 98261-0449,PA,12/09/2024,1293.81,2025-01-03
CLI-0613,Carla Souza,carla.souza613@gmail.com,(98) 92252-1062,Maranhao,2023-08-15,"R$ 980,17",2024-01-30
CLI-0692,Diego Alves,diego.alves692outlook.com,(98) 91185-5576,sp,12/06/2023,2234.87,2023-07-28
CLI-0371,Fabio Santos,fabio.santos371empresa.com.br,(98) 91663-8462,sp,2023-04-01,2057.13,2023-06-14
CLI-0454,Elisa Rocha,elisa.rocha454gmail.com,+55 98984332202,rj,2025-05-09,420.43,2025-10-09
CLI-0469,Carla Souza,carla.souza469@empresa.com.br,(98) 97718-6322,RJ,2024-05-16,"R$ 690,81",2024-08-15
CLI-0120,Gabi Melo,gabi.melo120@gmail.com,+55 98984464681,PA,2025-07-20,502.07,2025-08-23
CLI-0219,Fabio Santos,fabio.santos219@outlook.com,98962527328,,2024-05-18,"R$ 2.568,04",2024-07-17
CLI-0546,Fabio Santos,fabio.santos546@gmail.com,+55 98992919421,rj,2024-12-26,1252.78,2025-01-06
CLI-0269,Elisa Rocha,elisa.rocha269@outlook.com,(98) 93564-8687,,2024-07-22,"R$ 140,65",2024-12-28
CLI-0367,  BRUNO COSTA  ,..bruno.costa..367@outlook.com,98999156030,MA,01/07/2023,"R$ 133,97",2023-11-14
CLI-0413,Ana Lima,ana.lima413@outlook.com,(98) 91297-5350,,2025-06-29,"R$ 1.323,51",2025-08-06
